고객ID,고객명,Tier,업종,손익코드,손익명,매출코드,매출명,고객소통명,25년매출,26년매출,대분류,중분류,AX구분_대,AX구분_중,AI Stack
cust001,고객 001,Tier1,온라인/IT,D20,손익001,D24,상품001,,357324000,2163000,대분류001,중분류001,AX,Infra,AI Infra
cust001,고객 001,Tier1,온라인/IT,T13,손익002,T13,상품002,,0,2400000,대분류002,중분류002,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,A40,손익003,A42,상품003,,369718000,102000000,대분류003,중분류003,AX,Infra,AI Platform
cust002,고객 002,Tier1,대기업,T13,손익002,T13,상품002,,0,889800,대분류002,중분류002,Legacy,Application,Application
cust003,고객 003,Tier2,온라인/IT,D20,손익001,D24,상품001,,7581159950,0,대분류001,중분류001,AX,Infra,AI Infra
cust004,고객 004,Tier3,금융,D20,손익001,D24,상품001,,69809000,49100000,대분류001,중분류001,AX,Infra,AI Infra
cust005,고객 005,Tier1,글로벌,D20,손익001,D24,상품001,,0,1097606540,대분류001,중분류001,AX,Infra,AI Infra
cust006,고객 006,Tier1,글로벌,D20,손익001,D24,상품001,,1494287175,648695520,대분류001,중분류001,AX,Infra,AI Infra
cust007,고객 007,Tier1,글로벌,D20,손익001,D24,상품001,,540850597,1788656,대분류001,중분류001,AX,Infra,AI Infra
cust008,고객 008,Tier3,글로벌,B60,손익004,B60,상품004,,-752626,0,대분류002,중분류004,Legacy,Application,Application
cust008,고객 008,Tier3,글로벌,T13,손익002,T13,상품002,,0,847814614,대분류002,중분류002,Legacy,Application,Application
cust009,고객 009,Tier2,대기업,T13,손익002,T13,상품002,,0,261000,대분류002,중분류002,Legacy,Application,Application
cust010,고객 010,Tier3,온라인/IT,D20,손익001,D24,상품001,,2767925460,1631495340,대분류001,중분류001,AX,Infra,AI Infra
cust011,고객 011,Tier2,SME,T13,손익002,T13,상품002,,0,662170,대분류002,중분류002,Legacy,Application,Application
cust012,고객 012,Tier3,금융,A10,손익005,A12,상품005,,0,120,대분류004,중분류005,Legacy,Infra,NW Infra
cust012,고객 012,Tier3,금융,T13,손익002,T13,상품002,,0,286700,대분류002,중분류002,Legacy,Application,Application
cust013,고객 013,Tier3,금융,T13,손익002,T13,상품002,,0,108000,대분류002,중분류002,Legacy,Application,Application
cust014,고객 014,Tier2,대기업,E20,손익006,E23,상품006,,5932500,0,대분류004,중분류006,Legacy,Application,Application
cust014,고객 014,Tier2,대기업,T30,손익007,T37,상품007,상품_대외용_001,10800000,5400000,대분류005,중분류007,Legacy,Infra,Application
cust014,고객 014,Tier2,대기업,T30,손익007,T31,상품008,,0,19171613,대분류005,중분류007,Legacy,Application,Application
cust015,고객 015,Tier3,대기업,D20,손익001,E42,상품009,,38753771,17761069,대분류001,중분류001,AX,Infra,AI Infra
cust015,고객 015,Tier3,대기업,T10,손익008,T11,상품010,상품_대외용_002,1620471,0,대분류002,중분류002,Legacy,Application,Application
cust015,고객 015,Tier3,대기업,T13,손익002,T13,상품002,,0,760892,대분류002,중분류002,Legacy,Application,Application
cust016,고객 016,Tier1,금융,T13,손익002,T13,상품002,,0,1451400,대분류002,중분류002,Legacy,Application,Application
cust017,고객 017,Tier2,금융,T13,손익002,T13,상품002,,0,3587400,대분류002,중분류002,Legacy,Application,Application
cust018,고객 018,Tier3,금융,T13,손익002,T13,상품002,,0,114240,대분류002,중분류002,Legacy,Application,Application
cust019,고객 019,Tier3,대기업,T30,손익007,T31,상품008,,673599,346597,대분류005,중분류007,Legacy,Application,Application
cust020,고객 020,Tier2,온라인/IT,T13,손익002,T13,상품002,,0,135000,대분류002,중분류002,Legacy,Application,Application
cust021,고객 021,Tier3,온라인/IT,D20,손익001,D24,상품001,,14410000,0,대분류001,중분류001,AX,Infra,AI Infra
cust022,고객 022,Tier2,금융,D20,손익001,D24,상품001,,8779713845,0,대분류001,중분류001,AX,Infra,AI Infra
cust023,고객 023,Tier2,금융,A10,손익005,A12,상품005,,0,40,대분류004,중분류005,Legacy,Infra,NW Infra
cust024,고객 024,Tier2,대기업,T13,손익002,T13,상품002,,0,118800,대분류002,중분류002,Legacy,Application,Application
cust025,고객 025,Tier1,공공,T13,손익002,T13,상품002,,0,402600,대분류002,중분류002,Legacy,Application,Application
cust026,고객 026,Tier2,금융,T13,손익002,T13,상품002,,0,693591,대분류002,중분류002,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,A30,손익009,A32,상품011,상품_대외용_003,33740086,17091237,대분류004,중분류008,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,A35,손익010,A35,상품012,상품_대외용_004,769553,126000,대분류003,중분류009,AX,Application,AI Model
cust027,고객 027,Tier3,온라인/IT,A36,손익011,A36,상품013,상품_대외용_005,456000,228000,대분류003,중분류010,AX,Application,AI Model
cust027,고객 027,Tier3,온라인/IT,B30,손익012,B32,상품014,상품_대외용_006,231600000,115800000,대분류004,중분류011,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,B38,손익013,B38,상품015,상품_대외용_007,5971132,20442000,대분류004,중분류012,Legacy,Application,AI Platform
cust027,고객 027,Tier3,온라인/IT,D20,손익001,D21,상품016,상품_대외용_008,1572582000,786291000,대분류001,중분류001,AX,Infra,AI Infra
cust027,고객 027,Tier3,온라인/IT,E20,손익006,E26,상품017,상품_대외용_009,43498400,26068500,대분류004,중분류006,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,E20,손익006,E22,상품018,상품_대외용_010,3465600,1732800,대분류004,중분류006,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,E20,손익006,E25,상품019,상품_대외용_011,831426,401609,대분류004,중분류006,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,E30,손익014,E34,상품020,상품_대외용_012,0,4172102,대분류004,중분류013,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,E30,손익014,E32,상품021,상품_대외용_013,29627622,5766121,대분류004,중분류013,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,E30,손익014,E31,상품022,상품_대외용_013,146399351,25253915,대분류004,중분류013,Legacy,Application,Application
cust027,고객 027,Tier3,온라인/IT,K10,손익015,K11,상품023,상품_대외용_014,10386988,5145342,대분류004,중분류014,Legacy,Infra,NW Infra
