EPM_CUST_ID,EPM_GRP_ID,EPM_GRP_KORN_NM,WLSR_YN,UPLS,KT,SK,ETC
cust027,grp001,고객 027,Y,2851988985,120000000,0,60000000
cust001,grp002,고객 001,Y,36656273977,37081211112,36212442612,48000000000
cust002,grp003,고객 002,Y,24828372033,4944000000,216000000,10800000000
cust028,grp004,고객 028,Y,30480000,3024311820,0,0
cust003,grp005,고객 003,Y,20717739853,630000000,0,0
cust004,grp006,고객 004,Y,10029479173,7524000000,4704000000,420000000
cust054,grp007,고객 029,Y,8163476554,22286170212,11332350012,1080000000
cust055,grp007,고객 029,Y,405406864,180000000,180000000,0
cust056,grp008,고객 030,Y,3651148809,9564000000,3828000000,144000000
cust057,grp008,고객 030,N,1652141742,0,3301659.494,0
cust058,grp009,고객 005,Y,64703687641,71911920000,22639920000,17400000000
cust059,grp009,고객 005,Y,1473120,33396000000,1440000000,9600000000
cust060,grp010,고객 006,Y,17013220928,51800000004,36000000000,32700000000
cust061,grp010,고객 006,N,22476037627,-102467.7046,56628.29354,-25136.33732
cust062,grp010,고객 006,N,158145869,352656.6802,251316.9941,58828.16302
cust063,grp011,고객 007,Y,18664794187,17519999988,8700000000,99999996
cust064,grp011,고객 007,Y,0,43200000,0,0
cust065,grp012,고객 031,N,6631409666,-102467.7046,56628.29354,-25136.33732
cust066,grp012,고객 031,Y,3152638501,0,0,60000000
cust067,grp013,고객 008,N,83700000,-102467.7046,56628.29354,-25136.33732
cust068,grp013,고객 008,N,20400000,-102467.7046,56628.29354,-25136.33732
cust069,grp013,고객 008,Y,570081205,1820000004,1740000000,0
cust070,grp013,고객 008,N,43609479,-102467.7046,56628.29354,-25136.33732
cust071,grp013,고객 008,N,39795570,177099.1063,182445.0049,61418.0404
cust072,grp013,고객 008,N,6946502,-102467.7046,56628.29354,-25136.33732
cust073,grp013,고객 008,N,18929860,-102467.7046,56628.29354,-25136.33732
cust074,grp013,고객 008,N,1050000,-102467.7046,56628.29354,-25136.33732
cust075,grp013,고객 008,N,15055641,-102467.7046,56628.29354,-25136.33732
cust076,grp013,고객 008,N,4852328,-102467.7046,56628.29354,-25136.33732
cust077,grp013,고객 008,N,3163860,-102467.7046,56628.29354,-25136.33732
cust078,grp013,고객 008,N,8400000,-102467.7046,56628.29354,-25136.33732
cust079,grp013,고객 008,Y,4659561,3600000,0,0
cust080,grp013,고객 008,N,4200000,-102467.7046,56628.29354,-25136.33732
cust081,grp013,고객 008,N,12526710398,-102467.7046,56628.29354,-25136.33732
cust082,grp013,고객 008,N,54651625,-102467.7046,56628.29354,-25136.33732
cust083,grp013,고객 008,Y,880921505,900000000,0,0
cust084,grp013,고객 008,N,4200003,-102467.7046,56628.29354,-25136.33732
cust085,grp013,고객 008,N,25546231,-102467.7046,56628.29354,-25136.33732
cust086,grp013,고객 008,N,18000000,-102467.7046,56628.29354,-25136.33732
cust087,grp013,고객 008,N,100708440,-102467.7046,56628.29354,-25136.33732
cust088,grp013,고객 008,N,3171000,-102467.7046,56628.29354,-25136.33732
cust089,grp013,고객 008,N,29795621,-102467.7046,56628.29354,-25136.33732
cust090,grp013,고객 008,N,39000000,-102467.7046,56628.29354,-25136.33732
cust091,grp013,고객 008,N,78839400,-102467.7046,56628.29354,-25136.33732
cust092,grp013,고객 008,N,92025770,-102467.7046,56628.29354,-25136.33732
cust093,grp013,고객 008,N,15426272,-102467.7046,56628.29354,-25136.33732
cust094,grp013,고객 008,N,7203098,-102467.7046,56628.29354,-25136.33732
cust095,grp013,고객 008,N,1449,-102467.7046,56628.29354,-25136.33732
cust096,grp013,고객 008,N,74222576,-102467.7046,56628.29354,-25136.33732
cust097,grp013,고객 008,N,110355974,177099.1063,182445.0049,61418.0404
cust098,grp013,고객 008,N,320177709,-102467.7046,56628.29354,-25136.33732
cust099,grp013,고객 008,N,3986324,176542.7356,0,3319.560796
cust100,grp013,고객 008,N,9600659,-102467.7046,56628.29354,-25136.33732
cust101,grp013,고객 008,N,26000000,-102467.7046,56628.29354,-25136.33732
cust102,grp013,고객 008,N,152016213,-102467.7046,56628.29354,-25136.33732
cust103,grp013,고객 008,N,6000000,-102467.7046,56628.29354,-25136.33732
cust104,grp013,고객 008,N,6300000,-102467.7046,56628.29354,-25136.33732
cust105,grp013,고객 008,N,8172192,-102467.7046,56628.29354,-25136.33732
cust106,grp013,고객 008,N,70351123,-102467.7046,56628.29354,-25136.33732
cust107,grp013,고객 008,N,7680000,-102467.7046,56628.29354,-25136.33732
cust108,grp013,고객 008,N,71064000,-102467.7046,56628.29354,-25136.33732
cust109,grp013,고객 008,Y,0,1200000,0,0
cust110,grp013,고객 008,N,0,-102467.7046,56628.29354,-25136.33732
cust111,grp013,고객 008,Y,124641648,12,0,0
cust112,grp013,고객 008,N,182025464,-102467.7046,56628.29354,-25136.33732
cust113,grp013,고객 008,N,63388000,-102467.7046,56628.29354,-25136.33732
cust114,grp013,고객 008,N,24000000,-102467.7046,56628.29354,-25136.33732
cust115,grp013,고객 008,N,2391180,-102467.7046,56628.29354,-25136.33732
cust116,grp013,고객 008,N,11550000,-102467.7046,56628.29354,-25136.33732
cust117,grp013,고객 008,N,98946075,-102467.7046,56628.29354,-25136.33732
cust118,grp013,고객 008,N,4445709,222738.3066,170473.1569,53109.44174
cust119,grp013,고객 008,N,0,-102467.7046,56628.29354,-25136.33732
cust032,grp014,고객 032,Y,8881782831,2076000000,0,0
cust120,grp015,고객 033,N,6913157273,9928280.943,4180026.292,10279925.97
cust121,grp015,고객 033,N,2653117719,-102467.7046,56628.29354,-25136.33732
cust122,grp015,고객 033,N,1198749155,-102467.7046,56628.29354,-25136.33732
cust123,grp015,고객 033,Y,2075326544,19735999992,999999996,0
cust124,grp016,고객 034,N,15868800000,9928280.943,4180026.292,10279925.97
cust125,grp016,고객 034,Y,0,18000000,0,0
cust126,grp017,고객 035,Y,2827087166,5520000000,2940000000,0
cust127,grp017,고객 035,Y,1475750397,720000000,720000000,0
cust128,grp018,고객 009,N,464904740,-102467.7046,56628.29354,-25136.33732
cust129,grp018,고객 009,Y,513926649,8580000000,0,2760000000
cust036,grp019,고객 036,Y,15435557724,20848800000,2164800000,0
cust037,grp020,고객 037,Y,1199092537,228000000,780000000,1392000000
cust010,grp021,고객 010,Y,11580989503,360000000,840000000,1560000000
cust038,grp022,고객 038,Y,4336545699,2400000000,240000000,2760000000
cust039,grp023,고객 039,Y,2993300300,3300000000,1680000000,396000000
cust040,grp024,고객 040,Y,14523365348,84000000,648000000,0
cust130,grp025,고객 011,N,1060860597,177099.1063,182445.0049,61418.0404
cust131,grp025,고객 011,N,95817904,-102467.7046,56628.29354,-25136.33732
cust132,grp025,고객 011,Y,4667137987,398400000,124800000,192000000
cust012,grp026,고객 012,Y,4810892741,864000000,1656000000,0
cust041,grp027,고객 041,Y,4558084484,228000000,60000000,600000000
cust013,grp028,고객 013,Y,12016338701,10371600000,66000000,156000000
cust014,grp029,고객 014,Y,9876360994,16564440000,1560000000,480000000
cust015,grp030,고객 015,Y,15168730380,1321243752,8010072912,516000000
cust016,grp031,고객 016,Y,9719313010,16560000000,3516000000,0
cust017,grp032,고객 017,Y,7041806394,8952000000,3696000000,1200000000
cust018,grp033,고객 018,Y,6305589908,6468000000,0,0
cust042,grp034,고객 042,Y,2501846956,408638928,0,612000000
cust043,grp035,고객 043,Y,12385484036,36000000,144000000,48000000
cust019,grp036,고객 019,Y,4079097810,2904000000,0,540000000
cust020,grp037,고객 020,Y,8264464553,4560600000,6132000000,8400000000
cust044,grp038,고객 044,Y,5593657432,3357600000,15024000000,0
cust045,grp039,고객 045,Y,1144393663,18279999996,8280000000,8000000004
cust046,grp040,고객 046,Y,13846322156,15360000000,6900000000,1080000000
cust047,grp041,고객 047,Y,6926472378,8400000000,5400000000,144000000
cust021,grp042,고객 021,Y,4313906938,246000000,0,0
cust022,grp043,고객 022,Y,15539503944,1836000000,1656000000,744000000
cust023,grp044,고객 023,Y,13526406639,7224000000,3312000000,0
cust048,grp045,고객 048,Y,5146779240,1836000000,3911685144,2100000000
cust049,grp046,고객 049,Y,5327985498,482400000,1092000000,0
cust050,grp047,고객 050,N,0,70011.54862,34762.91025,7895.725805
cust024,grp048,고객 024,Y,3835170224,2160000000,36000000,4764000000
cust051,grp049,고객 051,Y,9584626119,9600000000,9600000000,0
cust025,grp050,고객 025,Y,56956354367,10367304000,50458026000,1200000000
cust026,grp051,고객 026,Y,6200894127,10224000000,2472000000,96000000
cust052,grp052,고객 052,Y,82122786248,16320600000,21600600000,27000000000
cust053,grp053,고객 053,Y,2512460468,216000000,1896000000,0
